code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20001135,0.477273,0.253247,0.269481,0.137987,0.073052,0.050325,0.058442,0.001623,0.056560,0.008233,0.002506,0.002506,0.287215,0.490368,0.036778,0.185639,0.144481,0.345779,0.139610,0.004870,0.035714,0.037338,0.035714,0.256494
N20001136,0.455852,0.297741,0.246407,0.091098,0.080528,0.102459,0.049180,0.006148,0.046736,0.006190,0.005881,0.000619,0.132075,0.752621,0.031447,0.083857,0.170431,0.322382,0.135524,0.016427,0.075975,0.039014,0.024641,0.215606
N20001137,0.486316,0.250526,0.263158,0.145263,0.084211,0.065263,0.050526,0.002105,0.039233,0.005711,0.001738,0.001738,0.281250,0.607143,0.040179,0.071429,0.132911,0.318565,0.141350,0.010549,0.035865,0.050633,0.029536,0.280591
N20001138,0.510823,0.205628,0.283550,0.151848,0.071012,0.032051,0.047009,0.012821,0.032051,0.009947,0.000737,0.000000,0.241218,0.304450,0.138173,0.316159,0.172043,0.339785,0.184946,0.017204,0.025806,0.032258,0.030108,0.197849
N20001139,0.426584,0.253478,0.319938,0.101003,0.073633,0.066667,0.044961,0.003101,0.052761,0.007680,0.002338,0.002338,0.290850,0.565359,0.050654,0.093137,0.120930,0.314729,0.130233,0.004651,0.060465,0.044961,0.024806,0.299225
N20001140,0.387792,0.377020,0.235189,0.113106,0.136445,0.061041,0.062837,0.017953,0.079676,0.003405,0.012939,0.002724,0.269685,0.442913,0.086614,0.200787,0.185252,0.305755,0.192446,0.003597,0.068345,0.028777,0.043165,0.172662
N20001141,0.570064,0.200637,0.229299,0.148680,0.062272,0.044025,0.047170,0.012579,0.025943,0.008051,0.000596,0.000000,0.258303,0.258303,0.103321,0.380074,0.211538,0.349359,0.198718,0.000000,0.022436,0.048077,0.009615,0.160256
N20001142,0.411003,0.300971,0.288026,0.088997,0.085761,0.092233,0.056634,0.011327,0.043268,0.005731,0.005444,0.000573,0.166389,0.713810,0.039933,0.079867,0.142626,0.351702,0.166937,0.014587,0.053485,0.051864,0.034036,0.184765
N20001143,0.460695,0.234004,0.305302,0.101062,0.065196,0.064220,0.038532,0.003670,0.050548,0.007358,0.002239,0.002239,0.232514,0.551985,0.088847,0.126654,0.138182,0.350909,0.149091,0.001818,0.049091,0.029091,0.023636,0.258182
N20001144,0.447619,0.251429,0.300952,0.167085,0.085398,0.049618,0.047710,0.005725,0.050816,0.002172,0.008252,0.001737,0.280702,0.452242,0.113060,0.153996,0.145038,0.320611,0.146947,0.009542,0.045802,0.061069,0.034351,0.236641
N20001145,0.545045,0.279279,0.175676,0.143219,0.169690,0.031963,0.036530,0.004566,0.034094,0.002435,0.000000,0.000000,0.640777,0.281553,0.043689,0.033981,0.139013,0.385650,0.179372,0.026906,0.035874,0.044843,0.022422,0.165919
N20001146,0.483516,0.307692,0.208791,0.157509,0.139194,0.047619,0.054945,0.003663,0.046703,0.014494,0.001074,0.000000,0.322449,0.440816,0.130612,0.106122,0.139706,0.363971,0.220588,0.007353,0.051471,0.073529,0.011029,0.132353
N20001147,0.204327,0.367788,0.427885,0.048987,0.071672,0.104369,0.046117,0.029126,0.087379,0.027118,0.002009,0.000000,0.061798,0.261236,0.191011,0.485955,0.319712,0.096154,0.153846,0.009615,0.062500,0.016827,0.007212,0.334135
N20001148,0.379391,0.405152,0.215457,0.060142,0.074166,0.154930,0.032864,0.018779,0.100807,0.014674,0.004466,0.004466,0.566434,0.304196,0.013986,0.115385,0.201405,0.229508,0.152225,0.030445,0.098361,0.035129,0.032787,0.220141
N20001149,0.369159,0.375389,0.255452,0.102388,0.127339,0.070203,0.074883,0.014041,0.069986,0.007410,0.009057,0.002470,0.254701,0.434188,0.111111,0.200000,0.187207,0.265211,0.205928,0.010920,0.048362,0.021841,0.029641,0.230889
N20001150,0.445013,0.294118,0.260870,0.108278,0.095138,0.076531,0.035714,0.028061,0.043205,0.011201,0.003734,0.000533,0.213699,0.356164,0.093151,0.336986,0.219388,0.295918,0.140306,0.015306,0.079082,0.045918,0.033163,0.170918
N20001151,0.460259,0.308688,0.231054,0.095121,0.095844,0.055046,0.066055,0.005505,0.067823,0.008983,0.008534,0.000898,0.209924,0.671756,0.045802,0.072519,0.136531,0.396679,0.149446,0.016605,0.059041,0.025830,0.029520,0.186347
N20001152,0.441860,0.276163,0.281977,0.136628,0.104651,0.078488,0.029070,0.002907,0.049258,0.002105,0.007999,0.001684,0.376119,0.429851,0.053731,0.140299,0.127907,0.377907,0.168605,0.005814,0.043605,0.031977,0.029070,0.215116
N20001153,0.463950,0.374608,0.161442,0.107142,0.086658,0.106416,0.081377,0.017214,0.065231,0.008640,0.008208,0.000864,0.160393,0.720131,0.036007,0.083470,0.137931,0.373041,0.147335,0.014107,0.115987,0.028213,0.039185,0.144201
N20001154,0.436482,0.205212,0.358306,0.110749,0.039088,0.081433,0.055375,0.013029,0.011993,0.003109,0.001036,0.000148,0.178571,0.207143,0.160714,0.453571,0.227723,0.277228,0.191419,0.003300,0.029703,0.039604,0.003300,0.227723
N20001155,0.538813,0.216895,0.244292,0.174134,0.067812,0.059633,0.025229,0.006881,0.042223,0.010947,0.003649,0.000521,0.354331,0.349081,0.115486,0.181102,0.174312,0.394495,0.167431,0.004587,0.038991,0.036697,0.025229,0.158257
