code,index
N20001288,0.97897
N20001289,0.98352
N20001290,1.20047
N20001291,1.09990
N20001292,0.98529
N20001293,0.99691
N20001294,1.01589
N20001295,0.96369
N20001296,1.01043
N20001297,0.98124
N20001298,0.90726
N20001299,0.88172
N20001300,0.83405
N20001301,0.88246
N20001302,0.92265
N20001303,1.00598
N20001304,0.83280
N20001305,0.84237
N20001306,0.90398
N20001307,0.91015
N20001308,1.08680
N20001309,1.15006
N20001310,0.88432
N20001311,0.92238
N20001312,0.93867
N20001313,0.89550
N20001314,0.92176
N20001315,0.96812
N20001316,0.91842
N20001317,0.87971
N20001318,1.13014
N20001319,0.95806
N20001320,0.81932
N20001321,0.98151
N20001322,0.93459
N20001323,0.91443
N20001324,0.81917
N20001325,0.89363
N20001326,0.97382
N20001327,1.18879
N20001328,0.83907
N20001329,1.07479
N20001330,1.15819
N20001331,1.22454
N20001332,0.84933
N20001333,1.03086
N20001334,1.11684
N20001335,1.16563
N20001336,0.98315
N20001337,1.19621
N20001338,0.83735
N20001339,1.11738
N20001340,1.12922
N20001341,1.10162
N20001342,1.06933
N20001343,1.10494
N20001344,0.93944
N20001345,1.00914
N20001346,1.01119
N20001347,0.99572
N20001348,0.92973
N20001349,1.08331
N20001350,1.12419
N20001351,1.03091
N20001352,0.98968
N20001353,0.97849
N20001354,1.04245
N20001355,1.10210
N20001356,1.01585
N20001357,1.04222
N20001358,0.96566
N20001359,0.98987
N20001360,1.10159
N20001361,1.17995
N20001362,1.13863
N20001363,1.00006
N20001364,1.15199
N20001365,0.95185
N20001366,1.08407
N20001367,1.15045
N20001368,1.13396
N20001369,0.77009
N20001370,0.77009
N20001371,0.98902
N20001372,0.77009
N20001373,0.93013
N20001374,1.17733
N20001375,0.78868
N20001376,0.77009
N20001377,0.77009
N20001378,0.77134
N20001379,0.79248
N20001380,0.96876
N20001381,0.77009
N20001382,0.80334
N20001383,0.77009
N20001384,0.77009
N20001385,0.77009
N20001386,0.94451
N20001387,0.77009
N20001388,0.95634
N20001389,0.77009
N20001390,0.77275
N20001391,0.93415
N20001392,0.95988
N20001393,0.77009
N20001394,0.77009
N20001395,0.77009
N20001396,0.77009
N20001397,0.77009
